,offer_name,link_to_offer,price,country,placed,condition
0,"Gloomhaven (English edition, fifth printing) (2019)",https://boardgamegeek.com/geekmarket/product/2073968,€115,belgium,1 hour ago,N
1,Gloomhaven,https://boardgamegeek.com/geekmarket/product/2073124,$75,belgium,1 day ago,N
2,"Gloomhaven (English edition, second printing) (2017)",https://boardgamegeek.com/geekmarket/product/2071262,$90,belgium,3 days ago,N
3,Gloomhaven,https://boardgamegeek.com/geekmarket/product/2070768,£75,belgium,3 days ago,LN
4,"Gloomhaven (English edition, third printing) (2018)",https://boardgamegeek.com/geekmarket/product/2070652,$68,belgium,4 days ago,LN
5,Gloomhaven (English miniatures edition) (2017),https://boardgamegeek.com/geekmarket/product/2069546,£65,belgium,5 days ago,VG
6,"Gloomhaven (English edition, fourth printing) (2018)",https://boardgamegeek.com/geekmarket/product/2069236,$79,belgium,6 days ago,N
7,Gloomhaven,https://boardgamegeek.com/geekmarket/product/2068863,$100,belgium,6 days ago,VG
8,Gloomhaven,https://boardgamegeek.com/geekmarket/product/2068768,€157,belgium,6 days ago,N
9,Gloomhaven,https://boardgamegeek.com/geekmarket/product/2068568,£200,belgium,6 days ago,VG
10,Gloomhaven,https://boardgamegeek.com/geekmarket/product/2067552,€169,italy,8 days ago,N
11,"Gloomhaven (English edition, fifth printing) (2019)",https://boardgamegeek.com/geekmarket/product/2066558,$95,italy,8 days ago,VG
12,"Gloomhaven (English edition, fourth printing) (2018)",https://boardgamegeek.com/geekmarket/product/2062510,€133,italy,11 days ago,N
13,"Gloomhaven (English edition, first printing) (2017)",https://boardgamegeek.com/geekmarket/product/2062303,$80,italy,11 days ago,LN
14,Gloomhaven,https://boardgamegeek.com/geekmarket/product/2049910,$65,italy,22 days ago,N
15,"Gloomhaven (English edition, third printing) (2018)",https://boardgamegeek.com/geekmarket/product/2047405,AU$130,italy,25 days ago,LN
16,"Gloomhaven (English edition, second printing) (2017)",https://boardgamegeek.com/geekmarket/product/2046968,€89,italy,1 month ago,LN
17,Gloomhaven,https://boardgamegeek.com/geekmarket/product/2045190,$89,italy,1 month ago,LN
18,Gloomhaven,https://boardgamegeek.com/geekmarket/product/2043636,$110,italy,1 month ago,VG
